channel,threads,time_sent,time_received
logdev_ebpf_shared,4,2026-06-15T20:14:51.401933400,2026-06-15T23:14:51.473547500
logdev_ebpf_shared,4,2026-06-15T20:14:51.401933400,2026-06-15T23:14:51.474192031
logdev_ebpf_shared,4,2026-06-15T20:14:51.406462300,2026-06-15T23:14:51.474401250
logdev_ebpf_shared,4,2026-06-15T20:14:51.406837600,2026-06-15T23:14:51.474667500
logdev_ebpf_shared,4,2026-06-15T20:14:51.407120400,2026-06-15T23:14:51.474922188
logdev_ebpf_shared,4,2026-06-15T20:14:51.407385700,2026-06-15T23:14:51.475175000
logdev_ebpf_shared,4,2026-06-15T20:14:51.407640100,2026-06-15T23:14:51.475430938
logdev_ebpf_shared,4,2026-06-15T20:14:51.407897100,2026-06-15T23:14:51.475688750
logdev_ebpf_shared,4,2026-06-15T20:14:51.408157000,2026-06-15T23:14:51.475903594
logdev_ebpf_shared,4,2026-06-15T20:14:51.408368200,2026-06-15T23:14:51.476096094
logdev_ebpf_shared,4,2026-06-15T20:14:51.408559800,2026-06-15T23:14:51.476287031
logdev_ebpf_shared,4,2026-06-15T20:14:51.408749800,2026-06-15T23:14:51.476483750
logdev_ebpf_shared,4,2026-06-15T20:14:51.408948100,2026-06-15T23:14:51.476679688
logdev_ebpf_shared,4,2026-06-15T20:14:51.409142300,2026-06-15T23:14:51.476873750
logdev_ebpf_shared,4,2026-06-15T20:14:51.409338400,2026-06-15T23:14:51.477066406
logdev_ebpf_shared,4,2026-06-15T20:14:51.409530100,2026-06-15T23:14:51.477326563
logdev_ebpf_shared,4,2026-06-15T20:14:51.409768700,2026-06-15T23:14:51.477512344
logdev_ebpf_shared,4,2026-06-15T20:14:51.409971800,2026-06-15T23:14:51.477705313
logdev_ebpf_shared,4,2026-06-15T20:14:51.410168400,2026-06-15T23:14:51.477890156
logdev_ebpf_shared,4,2026-06-15T20:14:51.410351400,2026-06-15T23:14:51.478079219
logdev_ebpf_shared,4,2026-06-15T20:14:51.410540400,2026-06-15T23:14:51.478272500
logdev_ebpf_shared,4,2026-06-15T20:14:51.410735400,2026-06-15T23:14:51.478459063
logdev_ebpf_shared,4,2026-06-15T20:14:51.410922800,2026-06-15T23:14:51.478646875
logdev_ebpf_shared,4,2026-06-15T20:14:51.411123200,2026-06-15T23:14:51.478931094
logdev_ebpf_shared,4,2026-06-15T20:14:51.411368700,2026-06-15T23:14:51.479126719
logdev_ebpf_shared,4,2026-06-15T20:14:51.411600700,2026-06-15T23:14:51.479432031
logdev_ebpf_shared,4,2026-06-15T20:14:51.411905700,2026-06-15T23:14:51.479780938
logdev_ebpf_shared,4,2026-06-15T20:14:51.412241400,2026-06-15T23:14:51.480040469
logdev_ebpf_shared,4,2026-06-15T20:14:51.412518400,2026-06-15T23:14:51.480298438
logdev_ebpf_shared,4,2026-06-15T20:14:51.412778200,2026-06-15T23:14:51.480547969
logdev_ebpf_shared,4,2026-06-15T20:14:51.413026500,2026-06-15T23:14:51.480762656
logdev_ebpf_shared,4,2026-06-15T20:14:51.413242000,2026-06-15T23:14:51.480942500
logdev_ebpf_shared,4,2026-06-15T20:14:51.413423100,2026-06-15T23:14:51.481121250
logdev_ebpf_shared,4,2026-06-15T20:14:51.413602100,2026-06-15T23:14:51.481293594
logdev_ebpf_shared,4,2026-06-15T20:14:51.413774300,2026-06-15T23:14:51.481470938
logdev_ebpf_shared,4,2026-06-15T20:14:51.413951700,2026-06-15T23:14:51.481649219
logdev_ebpf_shared,4,2026-06-15T20:14:51.414127800,2026-06-15T23:14:51.481823750
logdev_ebpf_shared,4,2026-06-15T20:14:51.414304200,2026-06-15T23:14:51.482002344
logdev_ebpf_shared,4,2026-06-15T20:14:51.414481700,2026-06-15T23:14:51.482182813
logdev_ebpf_shared,4,2026-06-15T20:14:51.414663900,2026-06-15T23:14:51.482358281
logdev_ebpf_shared,4,2026-06-15T20:14:51.414839800,2026-06-15T23:14:51.482537188
logdev_ebpf_shared,4,2026-06-15T20:14:51.415017000,2026-06-15T23:14:51.482715938
logdev_ebpf_shared,4,2026-06-15T20:14:51.415196500,2026-06-15T23:14:51.482894063
logdev_ebpf_shared,4,2026-06-15T20:14:51.415374900,2026-06-15T23:14:51.483068438
