channel,threads,time_sent,time_received
logdev_ebpf_shared,4,2026-06-15T20:18:42.691084600,2026-06-15T23:18:42.759006563
logdev_ebpf_shared,4,2026-06-15T20:18:42.691407300,2026-06-15T23:18:42.759299219
logdev_ebpf_shared,4,2026-06-15T20:18:42.691717000,2026-06-15T23:18:42.759601875
logdev_ebpf_shared,4,2026-06-15T20:18:42.692019300,2026-06-15T23:18:42.759905625
logdev_ebpf_shared,4,2026-06-15T20:18:42.692325700,2026-06-15T23:18:42.760204844
logdev_ebpf_shared,4,2026-06-15T20:18:42.692625400,2026-06-15T23:18:42.760514844
logdev_ebpf_shared,4,2026-06-15T20:18:42.692932900,2026-06-15T23:18:42.760854375
logdev_ebpf_shared,4,2026-06-15T20:18:42.693271800,2026-06-15T23:18:42.761147188
logdev_ebpf_shared,4,2026-06-15T20:18:42.693570300,2026-06-15T23:18:42.761439219
logdev_ebpf_shared,4,2026-06-15T20:18:42.693863500,2026-06-15T23:18:42.761905781
logdev_ebpf_shared,4,2026-06-15T20:18:42.694217400,2026-06-15T23:18:42.762169688
logdev_ebpf_shared,4,2026-06-15T20:18:42.694217400,2026-06-15T23:18:42.762688125
logdev_ebpf_shared,4,2026-06-15T20:18:42.694217400,2026-06-15T23:18:42.763362656
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.763883281
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.764215938
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.764758750
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.765204688
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.765507656
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.765801719
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.766085938
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.766370469
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.766653750
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.766939531
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.767218750
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.767499531
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.767802344
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.768079063
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.768390156
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.768939688
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.768978438
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.769186719
logdev_ebpf_shared,4,2026-06-15T20:18:42.695952100,2026-06-15T23:18:42.769754531
